run,Sample,Environment,isTrimmed,baseRecalibration,Mapper,VariantCaller,Duplicates,pass_filter_applied,n_variants,tmb,tmb_merged
326,EA,Altay + COSAP,YES,NO,BOWTIE,Mutect,DELETE,True,1117,13.830688010980154,13.839379859990327
332,EA,Altay + COSAP,NO,YES,BOWTIE,Mutect,DELETE,True,1075,13.310644236171589,13.319009265433841
338,EA,Altay + COSAP,YES,YES,BWA,Strelka,DELETE,True,1915,23.71151973234288,23.726421156563543
344,EA,Altay + COSAP,NO,NO,BWA,Strelka,DELETE,True,2245,27.7975779629816,27.81504725665021
350,EA,Altay + COSAP,YES,NO,BWA,Strelka,DELETE,True,2343,29.011013437534917,29.02924531061534
356,EA,Altay + COSAP,NO,YES,BWA,Strelka,DELETE,True,1809,22.399028300683167,22.41310489411146
362,EA,Altay + COSAP,YES,YES,BOWTIE,Strelka,DELETE,True,1193,14.77171960349089,14.781002840616347
368,EA,Altay + COSAP,NO,NO,BOWTIE,Strelka,DELETE,True,1131,14.004035935916342,14.012836724842488
374,EA,Altay + COSAP,YES,NO,BOWTIE,Strelka,DELETE,True,1230,15.229853405107958,15.239424554868489
380,EA,Altay + COSAP,NO,YES,BOWTIE,Strelka,DELETE,True,1080,13.372554209363086,13.380958145738186
386,EA,Altay + COSAP,YES,YES,BWA,SomaticSniper,DELETE,False,1550,19.192091689363686,19.20415289434647
392,EA,Altay + COSAP,NO,NO,BWA,SomaticSniper,DELETE,False,1543,19.105417726895592,19.11742446192039
398,EA,Altay + COSAP,YES,NO,BWA,SomaticSniper,DELETE,False,1600,19.811191421278647,19.823641697389906
404,EA,Altay + COSAP,NO,YES,BWA,SomaticSniper,DELETE,False,1473,18.238678102214653,18.25014013765958
410,EA,Altay + COSAP,YES,YES,BOWTIE,SomaticSniper,DELETE,False,1211,14.994595506980275,15.004018809711983
416,EA,Altay + COSAP,NO,NO,BOWTIE,SomaticSniper,DELETE,False,758,9.385551935830758,9.391450254138467
422,EA,Altay + COSAP,YES,NO,BOWTIE,SomaticSniper,DELETE,False,1401,17.347174488257114,17.358076261277034
428,EA,Altay + COSAP,NO,YES,BOWTIE,SomaticSniper,DELETE,False,639,7.9120945738731585,7.917066902895093
435,LL,Uhem + COSAP,YES,YES,BWA,Mutect,DELETE,True,956,11.837186874213991,11.844625914190468
436,EA,Uhem + COSAP,YES,YES,BWA,Mutect,DELETE,True,1261,15.613695238895232,15.623507612755418
437,LL,Altay + COSAP,YES,YES,BWA,Mutect,DELETE,True,956,11.837186874213991,11.844625914190468
438,NC,Uhem + COSAP,YES,YES,BWA,Mutect,DELETE,True,1137,14.078327903746137,14.0871753812077
441,LL,Uhem + COSAP,NO,NO,BWA,Mutect,DELETE,True,1104,13.669722080682265,13.678312771199034
442,EA,Uhem + COSAP,NO,NO,BWA,Mutect,DELETE,True,1276,15.799425158469719,15.809354253668449
443,LL,Altay + COSAP,NO,NO,BWA,Mutect,DELETE,True,1104,13.669722080682265,13.678312771199034
444,NC,Uhem + COSAP,NO,NO,BWA,Mutect,DELETE,True,1138,14.090709898384436,14.09956515726857
447,LL,Uhem + COSAP,YES,NO,BWA,Mutect,DELETE,True,962,11.911478842043785,11.91896457055568
448,EA,Uhem + COSAP,YES,NO,BWA,Mutect,DELETE,True,1293,16.009919067320805,16.019980446703215
449,LL,Altay + COSAP,YES,NO,BWA,Mutect,DELETE,True,962,11.911478842043785,11.91896457055568
450,NC,Uhem + COSAP,YES,NO,BWA,Mutect,DELETE,True,1139,14.103091893022736,14.111954933329438
453,LL,Uhem + COSAP,NO,YES,BWA,Mutect,DELETE,True,1023,12.666780514980033,12.67474091026867
454,EA,Uhem + COSAP,NO,YES,BWA,Mutect,DELETE,True,1237,15.316527367576052,15.32615298729457
455,LL,Altay + COSAP,NO,YES,BWA,Mutect,DELETE,True,1023,12.666780514980033,12.67474091026867
456,NC,Uhem + COSAP,NO,YES,BWA,Mutect,DELETE,True,1131,14.004035935916342,14.012836724842488
459,LL,Uhem + COSAP,YES,YES,BOWTIE,Mutect,DELETE,True,967,11.973388815235282,11.980913450860024
460,EA,Uhem + COSAP,YES,YES,BOWTIE,Mutect,DELETE,True,1082,13.397318198639685,13.405737697859923
461,LL,Altay + COSAP,YES,YES,BOWTIE,Mutect,DELETE,True,967,11.973388815235282,11.980913450860024
462,NC,Uhem + COSAP,YES,YES,BOWTIE,Mutect,DELETE,True,1071,13.261116257618394,13.269450161190367
465,LL,Uhem + COSAP,NO,NO,BOWTIE,Mutect,DELETE,True,968,11.98577080987358,11.993303226920892
466,EA,Uhem + COSAP,NO,NO,BOWTIE,Mutect,DELETE,True,1094,13.545902134299274,13.554415010590347
467,LL,Altay + COSAP,NO,NO,BOWTIE,Mutect,DELETE,True,968,11.98577080987358,11.993303226920892
468,NC,Uhem + COSAP,NO,NO,BOWTIE,Mutect,DELETE,True,1084,13.422082187916281,13.43051724998166
471,LL,Uhem + COSAP,YES,NO,BOWTIE,Mutect,DELETE,True,916,11.341907088682024,11.34903487175572
472,EA,Uhem + COSAP,YES,NO,BOWTIE,Mutect,DELETE,True,1117,13.830688010980154,13.839379859990327
473,LL,Altay + COSAP,YES,NO,BOWTIE,Mutect,DELETE,True,916,11.341907088682024,11.34903487175572
474,NC,Uhem + COSAP,YES,NO,BOWTIE,Mutect,DELETE,True,1078,13.347790220086488,13.356178593616448
477,LL,Uhem + COSAP,NO,YES,BOWTIE,Mutect,DELETE,True,895,11.081885201277743,11.088849574477477
478,EA,Uhem + COSAP,NO,YES,BOWTIE,Mutect,DELETE,True,1075,13.310644236171589,13.319009265433841
479,LL,Altay + COSAP,NO,YES,BOWTIE,Mutect,DELETE,True,895,11.081885201277743,11.088849574477477
480,NC,Uhem + COSAP,NO,YES,BOWTIE,Mutect,DELETE,True,1086,13.44684617719288,13.455296802103398
483,LL,Uhem + COSAP,YES,YES,BWA,Strelka,DELETE,True,1872,23.179093962896015,23.19366078594619
484,EA,Uhem + COSAP,YES,YES,BWA,Strelka,DELETE,True,1915,23.71151973234288,23.726421156563543
485,LL,Altay + COSAP,YES,YES,BWA,Strelka,DELETE,True,1872,23.179093962896015,23.19366078594619
486,NC,Uhem + COSAP,YES,YES,BWA,Strelka,DELETE,True,1835,22.720960161278946,22.735239071694046
489,LL,Uhem + COSAP,NO,NO,BWA,Strelka,DELETE,True,2055,25.44499898170476,25.46098980508516
490,EA,Uhem + COSAP,NO,NO,BWA,Strelka,DELETE,True,2245,27.7975779629816,27.81504725665021
491,LL,Altay + COSAP,NO,NO,BWA,Strelka,DELETE,True,2055,25.44499898170476,25.46098980508516
492,NC,Uhem + COSAP,NO,NO,BWA,Strelka,DELETE,True,1989,24.627787335577015,24.643264585067826
495,LL,Uhem + COSAP,YES,NO,BWA,Strelka,DELETE,True,2122,26.274592622470802,26.29110480116336
496,EA,Uhem + COSAP,YES,NO,BWA,Strelka,DELETE,True,2343,29.011013437534917,29.02924531061534
497,LL,Altay + COSAP,YES,NO,BWA,Strelka,DELETE,True,2122,26.274592622470802,26.29110480116336
498,NC,Uhem + COSAP,YES,NO,BWA,Strelka,DELETE,True,2050,25.383089008513263,25.399040924780817
501,LL,Uhem + COSAP,NO,YES,BWA,Strelka,DELETE,True,1817,22.49808425778956,22.51222310259841
502,EA,Uhem + COSAP,NO,YES,BWA,Strelka,DELETE,True,1809,22.399028300683167,22.41310489411146
503,LL,Altay + COSAP,NO,YES,BWA,Strelka,DELETE,True,1817,22.49808425778956,22.51222310259841
504,NC,Uhem + COSAP,NO,YES,BWA,Strelka,DELETE,True,1757,21.755164579491613,21.76883653894629
507,LL,Uhem + COSAP,YES,YES,BOWTIE,Strelka,DELETE,True,1173,14.524079710724907,14.533207319398974
508,EA,Uhem + COSAP,YES,YES,BOWTIE,Strelka,DELETE,True,1193,14.77171960349089,14.781002840616347
509,LL,Altay + COSAP,YES,YES,BOWTIE,Strelka,DELETE,True,1173,14.524079710724907,14.533207319398974
510,NC,Uhem + COSAP,YES,YES,BOWTIE,Strelka,DELETE,True,1179,14.598371678554702,14.607545975764186
513,LL,Uhem + COSAP,NO,NO,BOWTIE,Strelka,DELETE,True,949,11.750512911745897,11.757897481764386
514,EA,Uhem + COSAP,NO,NO,BOWTIE,Strelka,DELETE,True,1131,14.004035935916342,14.012836724842488
515,LL,Altay + COSAP,NO,NO,BOWTIE,Strelka,DELETE,True,949,11.750512911745897,11.757897481764386
516,NC,Uhem + COSAP,NO,NO,BOWTIE,Strelka,DELETE,True,1103,13.657340086043966,13.665922995138166
519,LL,Uhem + COSAP,YES,NO,BOWTIE,Strelka,DELETE,True,1313,16.257558960086786,16.267775967920592
520,EA,Uhem + COSAP,YES,NO,BOWTIE,Strelka,DELETE,True,1230,15.229853405107958,15.239424554868489
521,LL,Altay + COSAP,YES,NO,BOWTIE,Strelka,DELETE,True,1313,16.257558960086786,16.267775967920592
522,NC,Uhem + COSAP,YES,NO,BOWTIE,Strelka,DELETE,True,1209,14.969831517703676,14.979239257590246
525,LL,Uhem + COSAP,NO,YES,BOWTIE,Strelka,DELETE,True,838,10.37611150689469,10.382632339007962
526,EA,Uhem + COSAP,NO,YES,BOWTIE,Strelka,DELETE,True,1080,13.372554209363086,13.380958145738186
527,LL,Altay + COSAP,NO,YES,BOWTIE,Strelka,DELETE,True,838,10.37611150689469,10.382632339007962
528,NC,Uhem + COSAP,NO,YES,BOWTIE,Strelka,DELETE,True,1045,12.939184397022615,12.947315983607782
531,LL,Uhem + COSAP,YES,YES,BWA,SomaticSniper,DELETE,False,2210,27.36420815064113,27.381405094519806
532,EA,Uhem + COSAP,YES,YES,BWA,SomaticSniper,DELETE,False,1550,19.192091689363686,19.20415289434647
533,LL,Altay + COSAP,YES,YES,BWA,SomaticSniper,DELETE,False,2210,27.36420815064113,27.381405094519806
534,NC,Uhem + COSAP,YES,YES,BWA,SomaticSniper,DELETE,False,1499,18.56060996281043,18.572274315242165
537,LL,Uhem + COSAP,NO,NO,BWA,SomaticSniper,DELETE,False,2622,32.46558994162038,32.485992831597706
538,EA,Uhem + COSAP,NO,NO,BWA,SomaticSniper,DELETE,False,1543,19.105417726895592,19.11742446192039
539,LL,Altay + COSAP,NO,NO,BWA,SomaticSniper,DELETE,False,2622,32.46558994162038,32.485992831597706
540,NC,Uhem + COSAP,NO,NO,BWA,SomaticSniper,DELETE,False,1516,18.771103871661516,18.782900508276935
543,LL,Uhem + COSAP,YES,NO,BWA,SomaticSniper,DELETE,False,2724,33.728553394726895,33.74974998980631
544,EA,Uhem + COSAP,YES,NO,BWA,SomaticSniper,DELETE,False,1600,19.811191421278647,19.823641697389906
545,LL,Altay + COSAP,YES,NO,BWA,SomaticSniper,DELETE,False,2724,33.728553394726895,33.74974998980631
546,NC,Uhem + COSAP,YES,NO,BWA,SomaticSniper,DELETE,False,1562,19.340675625023277,19.352830207076895
549,LL,Uhem + COSAP,NO,YES,BWA,SomaticSniper,DELETE,False,2164,26.79463639727937,26.811475395719846
550,EA,Uhem + COSAP,NO,YES,BWA,SomaticSniper,DELETE,False,1473,18.238678102214653,18.25014013765958
551,LL,Altay + COSAP,NO,YES,BWA,SomaticSniper,DELETE,False,2164,26.79463639727937,26.811475395719846
552,NC,Uhem + COSAP,NO,YES,BWA,SomaticSniper,DELETE,False,1456,18.02818419336357,18.03951394462481
555,LL,Uhem + COSAP,YES,YES,BOWTIE,SomaticSniper,DELETE,False,1752,21.693254606300115,21.706887658641946
556,EA,Uhem + COSAP,YES,YES,BOWTIE,SomaticSniper,DELETE,False,1211,14.994595506980275,15.004018809711983
557,LL,Altay + COSAP,YES,YES,BOWTIE,SomaticSniper,DELETE,False,1752,21.693254606300115,21.706887658641946
558,NC,Uhem + COSAP,YES,YES,BOWTIE,SomaticSniper,DELETE,False,1246,15.427965319320744,15.437660971842387
561,LL,Uhem + COSAP,NO,NO,BOWTIE,SomaticSniper,DELETE,False,846,10.475167464001084,10.481750547494912
562,EA,Uhem + COSAP,NO,NO,BOWTIE,SomaticSniper,DELETE,False,758,9.385551935830758,9.391450254138467
563,LL,Altay + COSAP,NO,NO,BOWTIE,SomaticSniper,DELETE,False,846,10.475167464001084,10.481750547494912
564,NC,Uhem + COSAP,NO,NO,BOWTIE,SomaticSniper,DELETE,False,787,9.744629780341434,9.75075375990366
567,LL,Uhem + COSAP,YES,NO,BOWTIE,SomaticSniper,DELETE,False,2406,29.791079099747762,29.809801202450068
568,EA,Uhem + COSAP,YES,NO,BOWTIE,SomaticSniper,DELETE,False,1401,17.347174488257114,17.358076261277034
569,LL,Altay + COSAP,YES,NO,BOWTIE,SomaticSniper,DELETE,False,2406,29.791079099747762,29.809801202450068
570,NC,Uhem + COSAP,YES,NO,BOWTIE,SomaticSniper,DELETE,False,1369,16.95095065983154,16.961603427329237
573,LL,Uhem + COSAP,NO,YES,BOWTIE,SomaticSniper,DELETE,False,550,6.810097051064534,6.8143768334777794
