run,region,n_called,n_truth,tp,precision,recall,f1
619,GRCh38_notinalldifficultregions,1127,867,711,0.6308784383318545,0.8200692041522492,0.7131394182547643
619,GRCh38_notinalllowmapandsegdupregions,1442,1118,914,0.6338418862690708,0.817531305903399,0.7140624999999999
619,GRCh38_notinsegdups,1447,1123,918,0.6344160331720802,0.8174532502226179,0.714396887159533
619,GRCh38_segdups,57,38,26,0.45614035087719296,0.6842105263157895,0.5473684210526316
620,GRCh38_alldifficultregions,295,294,195,0.6610169491525424,0.6632653061224489,0.6621392190152802
620,GRCh38_alllowmapandsegdupregions,15,43,9,0.6,0.20930232558139536,0.3103448275862069
620,GRCh38_notinalldifficultregions,1074,867,671,0.6247672253258846,0.7739331026528259,0.6913961875322
620,GRCh38_notinalllowmapandsegdupregions,1354,1118,857,0.6329394387001477,0.7665474060822898,0.6933656957928802
620,GRCh38_notinsegdups,1355,1123,857,0.6324723247232472,0.7631344612644702,0.691686844229217
620,GRCh38_segdups,14,38,9,0.6428571428571429,0.23684210526315788,0.34615384615384615
621,GRCh38_alldifficultregions,946,294,242,0.2558139534883721,0.8231292517006803,0.39032258064516134
621,GRCh38_alllowmapandsegdupregions,132,43,34,0.25757575757575757,0.7906976744186046,0.3885714285714286
621,GRCh38_notinalldifficultregions,2328,867,742,0.31872852233676974,0.8558246828143022,0.4644757433489828
621,GRCh38_notinalllowmapandsegdupregions,3142,1118,950,0.302355187778485,0.8497316636851521,0.4460093896713615
621,GRCh38_notinsegdups,3146,1123,954,0.30324221233312143,0.8495102404274265,0.4469430780042164
621,GRCh38_segdups,128,38,30,0.234375,0.7894736842105263,0.3614457831325301
622,GRCh38_alldifficultregions,253,294,177,0.6996047430830039,0.6020408163265306,0.6471663619744059
622,GRCh38_alllowmapandsegdupregions,29,43,22,0.7586206896551724,0.5116279069767442,0.6111111111111112
622,GRCh38_notinalldifficultregions,795,867,592,0.7446540880503144,0.6828143021914648,0.7123947051744887
622,GRCh38_notinalllowmapandsegdupregions,1019,1118,747,0.7330716388616291,0.6681574239713775,0.6991109031352363
622,GRCh38_notinsegdups,1022,1123,750,0.7338551859099804,0.667853962600178,0.6993006993006993
