TestCaseNo,phase,Sample,operatingSystem,HOW,isTrimmed,baseRecalibration,Mapper,M_Version,Variant Caller,VC_Version,ReferenceGenom,Duplicates,Variant Filter,FilterPass,SOMATICfilter,remove_indels,Sort,File Link,Result VCF Count,Kim yaptı :),Slurm_id,Donanım,ElapsedTime
TestCase 113,notReady,LL,,Altay + COSAP,YES,NO,BWA,,SomaticSniper,,hg19,MARK,,,,,,,,GÜL EDA,,,
TestCase 114,notReady,LL,,Uhem + COSAP,YES,NO,BWA,,SomaticSniper,,hg19,MARK,,,,,,,,GÜL EDA,,,
TestCase 115,notReady,LL,Linux,Local,NO,YES,BWA,,SomaticSniper,,hg19,MARK,,,,,,,,GAMZE,,,
TestCase 116,done,EA,Linux,Altay + COSAP,NO,YES,BWA,,SomaticSniper,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/15DFnlF183CbHS1R_hYPDIEq2zjuU3Y3X?usp=share_link,,GUL EDA,29814,a041,03:46:40
TestCase 117,notReady,LL,,Uhem + COSAP,NO,YES,BWA,,SomaticSniper,,hg19,MARK,,,,,,,,GÜL EDA,,,
TestCase 118,notReady,LL,MAC,Local,NO,YES,BWA,,SomaticSniper,,hg19,MARK,,,,,,,,GAMZE,,,
TestCase 119,notReady,LL,,Altay + COSAP,NO,YES,BWA,,SomaticSniper,,hg19,MARK,,,,,,,,GÜL EDA,,,
TestCase 120,notReady,LL,,Uhem + COSAP,NO,YES,BWA,,SomaticSniper,,hg19,MARK,,,,,,,,GÜL EDA,,,
TestCase 121,notReady,LL,Linux,Local,YES,YES,BOWTIE,,SomaticSniper,,hg19,MARK,,,,,,,,GAMZE,,,
TestCase 122,done,EA,Linux,Altay + COSAP,YES,YES,BOWTIE,,SomaticSniper,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1C2f3IV4-eHfgojqbn6SDF9Sk_Ulv8C6A?usp=share_link,,GUL EDA,29809,a071,04:31:48
TestCase 123,notReady,LL,,Uhem + COSAP,YES,YES,BOWTIE,,SomaticSniper,,hg19,MARK,,,,,,,,GÜL EDA,,,
TestCase 124,notReady,LL,MAC,Local,YES,YES,BOWTIE,,SomaticSniper,,hg19,MARK,,,,,,,,GAMZE,,,
TestCase 125,notReady,LL,,Altay + COSAP,YES,YES,BOWTIE,,SomaticSniper,,hg19,MARK,,,,,,,,GÜL EDA,,,
TestCase 126,notReady,LL,,Uhem + COSAP,YES,YES,BOWTIE,,SomaticSniper,,hg19,MARK,,,,,,,,GÜL EDA,,,
TestCase 127,notReady,LL,Linux,Local,NO,NO,BOWTIE,,SomaticSniper,,hg19,MARK,,,,,,,,GAMZE,,,
TestCase 128,done,EA,Linux,Altay + COSAP,NO,NO,BOWTIE,,SomaticSniper,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1SeTlOlnA95OXDjw4WA1PtS_71COGCvtr?usp=share_link,,GUL EDA,29809,a071,02:38:59
TestCase 129,notReady,LL,,Uhem + COSAP,NO,NO,BOWTIE,,SomaticSniper,,hg19,MARK,,,,,,,,GÜL EDA,,,
TestCase 130,notReady,LL,MAC,Local,NO,NO,BOWTIE,,SomaticSniper,,hg19,MARK,,,,,,,,GAMZE,,,
TestCase 131,notReady,LL,,Altay + COSAP,NO,NO,BOWTIE,,SomaticSniper,,hg19,MARK,,,,,,,,GÜL EDA,,,
TestCase 132,notReady,LL,,Uhem + COSAP,NO,NO,BOWTIE,,SomaticSniper,,hg19,MARK,,,,,,,,GÜL EDA,,,
TestCase 133,notReady,LL,Linux,Local,YES,NO,BOWTIE,,SomaticSniper,,hg19,MARK,,,,,,,,GAMZE,,,
TestCase 134,done,EA,Linux,Altay + COSAP,YES,NO,BOWTIE,,SomaticSniper,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1VqP-8TL2NhqQlXkViIQjY4Z4P6S8lEsz?usp=share_link,,GUL EDA,29809,a071,02:50:38
TestCase 135,notReady,LL,,Uhem + COSAP,YES,NO,BOWTIE,,SomaticSniper,,hg19,MARK,,,,,,,,GÜL EDA,,,
TestCase 136,notReady,LL,MAC,Local,YES,NO,BOWTIE,,SomaticSniper,,hg19,MARK,,,,,,,,GAMZE,,,
TestCase 137,notReady,LL,,Altay + COSAP,YES,NO,BOWTIE,,SomaticSniper,,hg19,MARK,,,,,,,,GÜL EDA,,,
TestCase 138,notReady,LL,,Uhem + COSAP,YES,NO,BOWTIE,,SomaticSniper,,hg19,MARK,,,,,,,,GÜL EDA,,,
TestCase 139,notReady,LL,Linux,Local,NO,YES,BOWTIE,,SomaticSniper,,hg19,MARK,,,,,,,,GAMZE,,,
TestCase 140,done,EA,Linux,Altay + COSAP,NO,YES,BOWTIE,,SomaticSniper,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1RVIun0kXIERjrnmIAsjzXF-wjVALlegh?usp=share_link,,GUL EDA,29809,a071,04:30:22
TestCase 141,notReady,LL,,Uhem + COSAP,NO,YES,BOWTIE,,SomaticSniper,,hg19,MARK,,,,,,,,GÜL EDA,,,
TestCase 142,notReady,LL,MAC,Local,NO,YES,BOWTIE,,SomaticSniper,,hg19,MARK,,,,,,,,GAMZE,,,
TestCase 143,notReady,LL,,Altay + COSAP,NO,YES,BOWTIE,,SomaticSniper,,hg19,MARK,,,,,,,,GÜL EDA,,,
TestCase 144,notReady,LL,,Uhem + COSAP,NO,YES,BOWTIE,,SomaticSniper,,hg19,MARK,,,,,,,,GÜL EDA,,,
TestCase 145,done,LL,Linux,Local,YES,YES,BWA,,Mutect,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/16_HKqPA2ZoRe-Fge6vdCUaxvJxoTQi8L?usp=sharing,,GAMZE,,,
TestCase 146,done,LL,Linux,Local + COSAP,YES,YES,BWA,,Mutect,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1bpDHK2mtBdf-EL6hkBQvw_wZGRgRho2h?usp=sharing,,GAMZE,,,
TestCase 147,done,LL,,Uhem + COSAP,YES,YES,BWA,,Mutect,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1vWoVy9aCVv2StqjdOKg8RfQSc8RQkqSm?usp=sharing,,GÜL EDA,658693,s008,2:59:11
TestCase 148,done,EA,,Uhem + COSAP,YES,YES,BWA,,Mutect,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1ygSTlgnLpgcp5YsE1GUyjLxVhq4J0Zyy?usp=share_link,,GUL EDA,664682,s004,07:47:19
TestCase 149,done,LL,,Altay + COSAP,YES,YES,BWA,,Mutect,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1FKQVwBYlBmgi5NJFrgG7yilm_6l2_Q48?usp=share_link,,GÜL EDA,29303,a062,02:54:31
TestCase 150,done,NC,,Uhem + COSAP,YES,YES,BWA,,Mutect,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1A2b7Tkg-uO8gqx9VG-9tDB67WwczurN3?usp=sharing,,GÜL EDA,658815,s020,7:15:03
TestCase 151,done,LL,Linux,Local,NO,NO,BWA,,Mutect,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/192cSURxUF4YTVbfdCYRlx7xStIZMiDuh?usp=sharing,,GAMZE,,,
TestCase 152,done,LL,Linux,Local + COSAP,NO,NO,BWA,,Mutect,,hg38,MARK,,,,,,https://drive.google.com/file/d/1moNFhz7xG47NE__kFjj4SolEA0UtkC59/view?usp=sharing,,GAMZE,,,
TestCase 153,done,LL,,Uhem + COSAP,NO,NO,BWA,,Mutect,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1MyPazmdRCvDAZCz2NgEM5nPAschmaR0q?usp=sharing,,GÜL EDA,658693,s008,3:09:49
TestCase 154,done,EA,,Uhem + COSAP,NO,NO,BWA,,Mutect,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1vtLTLJQeH17TMHVhL017rJQToyA2F03g?usp=share_link,,GUL EDA,664682,s004,07:05:44
