IDs,phase,Sample,HOW,isTrimmed,baseRecalibration,Mapper,Variant Caller,Duplicates,File Link,Result VCF Count,Kim yaptı :),Notes:
TestCase 80,,IL,Uhem + COSAP,no,no,Bowtie,Strelka,MARK,https://drive.google.com/drive/folders/1gPiuvVZCOAQkC4acxGKUAtkvniwQBerK?usp=sharing,,Gül Eda,
TestCase 81,,IL,Uhem + COSAP,yes,yes,BWA,Mutect,DELETE,https://drive.google.com/drive/folders/1q3nOerafuknHg4F0vt6-fvkCo1fY4SCo?usp=sharing,,Gül Eda,
TestCase 82,,IL,Uhem + COSAP,yes,yes,BWA,Strelka,DELETE,https://drive.google.com/drive/folders/1xo9Czg8MEWJzsVw4JH0zJ2WeISw0kIGX?usp=sharing,,Gül Eda,
TestCase 83,,IL,Uhem + COSAP,yes,yes,Bowtie,Mutect,DELETE,https://drive.google.com/drive/folders/1AYYgA5oRSbSvtAodqHA4okEDIHjIhG88?usp=sharing,,Gül Eda,
TestCase 84,,IL,Uhem + COSAP,yes,yes,Bowtie,Strelka,DELETE,https://drive.google.com/drive/folders/1w8R6Zzl-biqTp5UjIHi5KBoQWHCTHihR?usp=sharing,,Gül Eda,
TestCase 85,,IL,Uhem + COSAP,yes,no,BWA,Mutect,DELETE,https://drive.google.com/drive/folders/1iJmatjfFLMs0HwC2r170mbdtBU2zEjGa?usp=sharing,,Gül Eda,
TestCase 86,,IL,Uhem + COSAP,yes,no,BWA,Strelka,DELETE,https://drive.google.com/drive/folders/1Wqs4bhYzP0XtawAuoWzWNjHV7L3Y5D1u?usp=sharing,,Gül Eda,
TestCase 87,,IL,Uhem + COSAP,yes,no,Bowtie,Mutect,DELETE,https://drive.google.com/drive/folders/1YcBkzBgg8cXnEy76YlgpHdMUKniwpZXg?usp=sharing,,Gül Eda,
TestCase 88,,IL,Uhem + COSAP,yes,no,Bowtie,Strelka,DELETE,https://drive.google.com/drive/folders/1QWFhhk3Tf7x8hd_6kSbtdqaGP736aQTx?usp=sharing,,Gül Eda,
TestCase 89,,IL,Uhem + COSAP,no,yes,BWA,Mutect,DELETE,https://drive.google.com/drive/folders/1-iwvJtbczRSJowea8WEW1NSu-MDac4Lv?usp=sharing,,Gül Eda,
TestCase 90,,IL,Uhem + COSAP,no,yes,BWA,Strelka,DELETE,https://drive.google.com/drive/folders/1sViHzsVGhyQX1DPoUQPZDqQDZjkYg4we?usp=sharing,,Gül Eda,
TestCase 91,,IL,Uhem + COSAP,no,yes,Bowtie,Mutect,DELETE,https://drive.google.com/drive/folders/17rMaE4MufbY5CKOKjeI40cx2TYzeBoIN?usp=sharing,,Gül Eda,
TestCase 92,,IL,Uhem + COSAP,no,yes,Bowtie,Strelka,DELETE,https://drive.google.com/drive/folders/1drXIxTNAyWuaoCZP-N1uhr4moYdxyXOy?usp=sharing,,Gül Eda,
TestCase 93,,IL,Uhem + COSAP,no,no,BWA,Mutect,DELETE,https://drive.google.com/drive/folders/1LiLAz65QC4eQJVpnkWZpXLiQI3vXdCUb?usp=sharing,,Gül Eda,
TestCase 94,,IL,Uhem + COSAP,no,no,BWA,Strelka,DELETE,https://drive.google.com/drive/folders/1_DcV0NxTmECVdZ_1QBF3Us07YAQWLS9J?usp=sharing,,Gül Eda,
TestCase 95,,IL,Uhem + COSAP,no,no,Bowtie,Mutect,DELETE,https://drive.google.com/drive/folders/1jAddc4ohOaSKePp4TRf2yekharZ77o_R?usp=sharing,,Gül Eda,
TestCase 96,,IL,Uhem + COSAP,no,no,Bowtie,Strelka,DELETE,https://drive.google.com/drive/folders/10oucF9JX6xZ9YZQCymEwSRwNE4GjXBmj?usp=sharing,,Gül Eda,
TestCase 97,done,IL,Altay + COSAP,yes,yes,BWA,Mutect,MARK,https://drive.google.com/drive/folders/1hlzv5B2S4REGsEFF5l13WOnrKsMjNP_T?usp=sharing,,Gül Eda,
TestCase 98,done,IL,Altay + COSAP,yes,yes,BWA,Strelka,MARK,https://drive.google.com/drive/folders/1l22H9e0FhNTWxenRI8Ggk6M2eP0p-gYh?usp=sharing,,Gül Eda,
TestCase 99,done,IL,Altay + COSAP,yes,yes,Bowtie,Mutect,MARK,https://drive.google.com/drive/folders/13TFeSVwpQEw0UNqC2PEiqkFC2Gd8Zy4D?usp=sharing,,Gül Eda,
TestCase 100,done,IL,Altay + COSAP,yes,yes,Bowtie,Strelka,MARK,https://drive.google.com/drive/folders/19Jx8EvNL9zmOj4ExWs0a6D9ZSKwSi13D?usp=sharing,,Gül Eda,
TestCase 101,done,IL,Altay + COSAP,yes,no,BWA,Mutect,MARK,https://drive.google.com/drive/folders/1ho_NeX8_tVP1fHhJm0GsmG7fWKK-q6WA?usp=sharing,,Gül Eda,
TestCase 102,done,IL,Altay + COSAP,yes,no,BWA,Strelka,MARK,https://drive.google.com/drive/folders/1TiYCt5K9OnzIStCMLOuEU5Rm3surooii?usp=sharing,,Gül Eda,
TestCase 103,done,IL,Altay + COSAP,yes,no,Bowtie,Mutect,MARK,https://drive.google.com/drive/folders/1bLPvDSRU2nnikDHFRnO508FPBKbYX7Xz?usp=sharing,,Gül Eda,
TestCase 104,done,IL,Altay + COSAP,yes,no,Bowtie,Strelka,MARK,https://drive.google.com/drive/folders/18Tz2g-RL3e257C8zQhJI8kphv6ja1mM2?usp=sharing,,Gül Eda,
TestCase 105,done,IL,Altay + COSAP,no,yes,BWA,Mutect,MARK,https://drive.google.com/drive/folders/1C95Q9leTFOb6C5B6WFItAhC2B-KwerCf?usp=sharing,,Gül Eda,
TestCase 106,done,IL,Altay + COSAP,no,yes,BWA,Strelka,MARK,https://drive.google.com/drive/folders/1qyQjOjPmhXSQA8scKs5dox7z2ORn7F7H?usp=sharing,,Gül Eda,
TestCase 107,done,IL,Altay + COSAP,no,yes,Bowtie,Mutect,MARK,https://drive.google.com/drive/folders/1l2PpzpT_qasSe3ubCxpChxh40-P6w5v_?usp=sharing,,Gül Eda,
