run,TestCaseNo,region,filter,n_input,n_kept,iou,precision,recall,f1
595,595,GRCh38_notinalllowmapandsegdupregions,legacy,1378,1378,0.5908521303258145,0.6843251088534107,0.8122308354866494,0.7428121307601416
595,595,GRCh38_notinsegdups,corrected,1378,1325,0.5844486934353091,0.6920754716981132,0.7898363479758829,0.7377312952534192
595,595,GRCh38_notinsegdups,legacy,1378,1378,0.5908521303258145,0.6843251088534107,0.8122308354866494,0.7428121307601416
595,595,GRCh38_segdups,corrected,1378,53,0.021885521885521887,0.49056603773584906,0.02239448751076658,0.042833607907742995
595,595,GRCh38_segdups,legacy,1378,821,0.3840782122905028,0.6699147381242387,0.4737295434969854,0.5549949545913219
596,596,GRCh38_alldifficultregions,corrected,1073,249,0.17696160267111852,0.8514056224899599,0.1826012058570198,0.300709219858156
596,596,GRCh38_alldifficultregions,legacy,1073,983,0.6341463414634146,0.8463886063072228,0.7166236003445305,0.7761194029850746
596,596,GRCh38_alllowmapandsegdupregions,corrected,1073,16,0.010300429184549357,0.75,0.0103359173126615,0.020390824129141887
596,596,GRCh38_alllowmapandsegdupregions,legacy,1073,789,0.5210608424336973,0.8466413181242078,0.5753660637381568,0.6851282051282052
596,596,GRCh38_notinalldifficultregions,corrected,1073,824,0.5399534522885958,0.8446601941747572,0.599483204134367,0.7012594458438287
596,596,GRCh38_notinalldifficultregions,legacy,1073,1070,0.6825037707390649,0.8457943925233645,0.7795004306632214,0.8112953832362171
596,596,GRCh38_notinalllowmapandsegdupregions,corrected,1073,1057,0.6777609682299546,0.847682119205298,0.7717484926787253,0.8079350766456267
596,596,GRCh38_notinalllowmapandsegdupregions,legacy,1073,1073,0.6847662141779789,0.8462255358807083,0.7820844099913867,0.8128916741271262
596,596,GRCh38_notinsegdups,corrected,1073,1059,0.676737160120846,0.846081208687441,0.7717484926787253,0.8072072072072072
596,596,GRCh38_notinsegdups,legacy,1073,1073,0.6847662141779789,0.8462255358807083,0.7820844099913867,0.8128916741271262
596,596,GRCh38_segdups,corrected,1073,14,0.010318142734307825,0.8571428571428571,0.0103359173126615,0.02042553191489362
596,596,GRCh38_segdups,legacy,1073,627,0.420174741858618,0.8437001594896332,0.45564168819982775,0.5917225950782998
597,597,GRCh38_alldifficultregions,corrected,3231,981,0.12736842105263158,0.24668705402650357,0.20844099913867356,0.22595704948646125
597,597,GRCh38_alldifficultregions,legacy,3231,2989,0.27613776137761376,0.3004349280695885,0.7734711455641688,0.4327710843373494
