run,Sample,Environment,isTrimmed,baseRecalibration,Mapper,VariantCaller,Duplicates,Node,ElapsedTime,elapsed_seconds
584,FD,Uhem + COSAP,YES,YES,BOWTIE,Mutect,MARK,s025,04:08:48,14928
585,FD,Uhem + COSAP,YES,YES,BWA,Strelka,MARK,s026,01:29:18,5358
586,FD,Uhem + COSAP,YES,YES,BOWTIE,Strelka,MARK,s017,01:47:10,6430
587,FD,Uhem + COSAP,YES,YES,BWA,SomaticSniper,MARK,s027,01:37:58,5878
588,FD,Uhem + COSAP,YES,YES,BOWTIE,SomaticSniper,MARK,s019,01:56:03,6963
589,FD,Uhem + COSAP,YES,NO,BWA,Mutect,DELETE,s036,04:22:39,15759
590,FD,Uhem + COSAP,YES,NO,BOWTIE,Mutect,DELETE,s051,04:22:56,15776
591,FD,Uhem + COSAP,YES,NO,BWA,Strelka,DELETE,s041,00:43:33,2613
592,FD,Uhem + COSAP,YES,NO,BOWTIE,Strelka,DELETE,s054,01:00:39,3639
593,FD,Uhem + COSAP,YES,NO,BWA,SomaticSniper,DELETE,s049,00:54:16,3256
594,FD,Uhem + COSAP,YES,NO,BOWTIE,SomaticSniper,DELETE,s055,01:10:11,4211
595,FD,Uhem + COSAP,YES,NO,BWA,Mutect,MARK,s029,04:16:01,15361
596,FD,Uhem + COSAP,YES,NO,BOWTIE,Mutect,MARK,s025,04:02:41,14561
597,FD,Uhem + COSAP,YES,NO,BWA,Strelka,MARK,s026,00:52:02,3122
598,FD,Uhem + COSAP,YES,NO,BOWTIE,Strelka,MARK,s017,00:56:19,3379
599,FD,Uhem + COSAP,YES,NO,BWA,SomaticSniper,MARK,s027,00:46:51,2811
600,FD,Uhem + COSAP,YES,NO,BOWTIE,SomaticSniper,MARK,s019,01:03:56,3836
601,FD,Uhem + COSAP,NO,YES,BWA,Mutect,DELETE,s036,06:00:24,21624
602,FD,Uhem + COSAP,NO,YES,BOWTIE,Mutect,DELETE,s051,05:59:38,21578
603,FD,Uhem + COSAP,NO,YES,BWA,Strelka,DELETE,s041,01:42:26,6146
604,FD,Uhem + COSAP,NO,YES,BOWTIE,Strelka,DELETE,s054,01:55:10,6910
605,FD,Uhem + COSAP,NO,YES,BWA,SomaticSniper,DELETE,s049,01:54:24,6864
606,FD,Uhem + COSAP,NO,YES,BOWTIE,SomaticSniper,DELETE,s055,02:08:40,7720
607,FD,Uhem + COSAP,NO,YES,BWA,Mutect,MARK,s029,05:49:50,20990
608,FD,Uhem + COSAP,NO,YES,BOWTIE,Mutect,MARK,s025,05:25:47,19547
609,FD,Uhem + COSAP,NO,YES,BWA,Strelka,MARK,s026,01:30:00,5400
610,FD,Uhem + COSAP,NO,YES,BOWTIE,Strelka,MARK,s017,01:42:10,6130
611,FD,Uhem + COSAP,NO,YES,BWA,SomaticSniper,MARK,s027,01:37:12,5832
612,FD,Uhem + COSAP,NO,YES,BOWTIE,SomaticSniper,MARK,s019,01:52:05,6725
613,FD,Uhem + COSAP,NO,NO,BWA,Mutect,DELETE,s036,06:00:31,21631
614,FD,Uhem + COSAP,NO,NO,BOWTIE,Mutect,DELETE,s051,07:07:24,25644
615,FD,Uhem + COSAP,NO,NO,BWA,Strelka,DELETE,s041,00:41:31,2491
616,FD,Uhem + COSAP,NO,NO,BOWTIE,Strelka,DELETE,s054,00:58:02,3482
617,FD,Uhem + COSAP,NO,NO,BWA,SomaticSniper,DELETE,s049,00:51:25,3085
