run,Sample,Environment,isTrimmed,baseRecalibration,Mapper,VariantCaller,Duplicates,Inter/Union,Precision,Recall,f1_score
314,EA,Altay + COSAP,YES,YES,BOWTIE,Mutect,DELETE,0.8147249190938511,0.9306839186691312,0.8673557278208441,0.8979045920641997
320,EA,Altay + COSAP,NO,NO,BOWTIE,Mutect,DELETE,0.7939538583929993,0.9122486288848263,0.859603789836348,0.8851441241685145
326,EA,Altay + COSAP,YES,NO,BOWTIE,Mutect,DELETE,0.7965299684542587,0.9042076991942704,0.8699397071490095,0.8867427568042142
332,EA,Altay + COSAP,NO,YES,BOWTIE,Mutect,DELETE,0.8032258064516129,0.9265116279069767,0.8578811369509044,0.89087656529517
338,EA,Altay + COSAP,YES,YES,BWA,Strelka,DELETE,0.5303482587064676,0.5566579634464752,0.9181739879414298,0.693107932379714
344,EA,Altay + COSAP,NO,NO,BWA,Strelka,DELETE,0.4561778537836682,0.4752783964365256,0.9190353143841516,0.6265413975337639
350,EA,Altay + COSAP,YES,NO,BWA,Strelka,DELETE,0.43783340172343044,0.45539906103286387,0.9190353143841516,0.6090182648401826
356,EA,Altay + COSAP,NO,YES,BWA,Strelka,DELETE,0.5590551181102362,0.5887230514096186,0.917312661498708,0.7171717171717172
362,EA,Altay + COSAP,YES,YES,BOWTIE,Strelka,DELETE,0.6565798733286418,0.7820620284995808,0.8036175710594315,0.7926932880203906
368,EA,Altay + COSAP,NO,NO,BOWTIE,Strelka,DELETE,0.6489208633093525,0.7975243147656941,0.7769164513350559,0.787085514834206
374,EA,Altay + COSAP,YES,NO,BOWTIE,Strelka,DELETE,0.6410432395332876,0.759349593495935,0.8044788975021533,0.781263069845253
380,EA,Altay + COSAP,NO,YES,BOWTIE,Strelka,DELETE,0.6736370425690814,0.8351851851851851,0.7769164513350559,0.8049977688531905
386,EA,Altay + COSAP,YES,YES,BWA,SomaticSniper,DELETE,0.4717698154180239,0.5606451612903226,0.7484926787252368,0.6410918480265584
392,EA,Altay + COSAP,NO,NO,BWA,SomaticSniper,DELETE,0.48083242059145676,0.5690213869086196,0.756244616709733,0.6494082840236687
398,EA,Altay + COSAP,YES,NO,BWA,SomaticSniper,DELETE,0.4701810436634718,0.551875,0.7605512489233419,0.6396233248822891
404,EA,Altay + COSAP,NO,YES,BWA,SomaticSniper,DELETE,0.48227349465391106,0.581805838424983,0.7381567614125754,0.6507213363705391
410,EA,Altay + COSAP,YES,YES,BOWTIE,SomaticSniper,DELETE,0.5214881334188582,0.671345995045417,0.7002583979328165,0.6854974704890389
416,EA,Altay + COSAP,NO,NO,BOWTIE,SomaticSniper,DELETE,0.33171408743927827,0.6306068601583114,0.4117140396210164,0.4981761334028141
422,EA,Altay + COSAP,YES,NO,BOWTIE,SomaticSniper,DELETE,0.4886693782684486,0.6002855103497502,0.7243755383290267,0.6565183450429353
428,EA,Altay + COSAP,NO,YES,BOWTIE,SomaticSniper,DELETE,0.35236664162284,0.7339593114241002,0.40396210163652024,0.5211111111111112
435,LL,Uhem + COSAP,YES,YES,BWA,Mutect,DELETE,0.7183441558441559,0.9257322175732218,0.7622739018087855,0.8360888049126122
436,EA,Uhem + COSAP,YES,YES,BWA,Mutect,DELETE,0.7474747474747475,0.8215701823949246,0.892334194659776,0.8554913294797688
437,LL,Altay + COSAP,YES,YES,BWA,Mutect,DELETE,0.7183441558441559,0.9257322175732218,0.7622739018087855,0.8360888049126122
438,NC,Uhem + COSAP,YES,YES,BWA,Mutect,DELETE,0.7813953488372093,0.8865435356200527,0.8682170542635659,0.8772845953002611
441,LL,Uhem + COSAP,NO,NO,BWA,Mutect,DELETE,0.6496722505462491,0.8079710144927537,0.768303186907838,0.7876379690949227
442,EA,Uhem + COSAP,NO,NO,BWA,Mutect,DELETE,0.745702005730659,0.8158307210031348,0.896640826873385,0.8543290931473123
443,LL,Altay + COSAP,NO,NO,BWA,Mutect,DELETE,0.6496722505462491,0.8079710144927537,0.768303186907838,0.7876379690949227
444,NC,Uhem + COSAP,NO,NO,BWA,Mutect,DELETE,0.7835531419705197,0.8875219683655536,0.8699397071490095,0.8786428882122662
447,LL,Uhem + COSAP,YES,NO,BWA,Mutect,DELETE,0.7120967741935483,0.9178794178794178,0.7605512489233419,0.8318417333961375
448,EA,Uhem + COSAP,YES,NO,BWA,Mutect,DELETE,0.7330508474576272,0.802784222737819,0.8940568475452196,0.8459657701711492
449,LL,Altay + COSAP,YES,NO,BWA,Mutect,DELETE,0.7120967741935483,0.9178794178794178,0.7605512489233419,0.8318417333961375
450,NC,Uhem + COSAP,YES,NO,BWA,Mutect,DELETE,0.7857142857142857,0.8884986830553117,0.8716623600344531,0.88
453,LL,Uhem + COSAP,NO,YES,BWA,Mutect,DELETE,0.6812933025404158,0.8651026392961877,0.7622739018087855,0.8104395604395604
454,EA,Uhem + COSAP,NO,YES,BWA,Mutect,DELETE,0.763235294117647,0.8391269199676638,0.8940568475452196,0.865721434528774
455,LL,Altay + COSAP,NO,YES,BWA,Mutect,DELETE,0.6812933025404158,0.8651026392961877,0.7622739018087855,0.8104395604395604
456,NC,Uhem + COSAP,NO,YES,BWA,Mutect,DELETE,0.7822706065318819,0.8894783377541998,0.8664944013781223,0.8778359511343804
459,LL,Uhem + COSAP,YES,YES,BOWTIE,Mutect,DELETE,0.6996805111821086,0.905894519131334,0.7545219638242894,0.8233082706766917
460,EA,Uhem + COSAP,YES,YES,BOWTIE,Mutect,DELETE,0.8147249190938511,0.9306839186691312,0.8673557278208441,0.8979045920641997
461,LL,Altay + COSAP,YES,YES,BOWTIE,Mutect,DELETE,0.6996805111821086,0.905894519131334,0.7545219638242894,0.8233082706766917
462,NC,Uhem + COSAP,YES,YES,BOWTIE,Mutect,DELETE,0.7870296236989591,0.9178338001867413,0.8466838931955211,0.8808243727598567
465,LL,Uhem + COSAP,NO,NO,BOWTIE,Mutect,DELETE,0.623951182303585,0.8450413223140496,0.7045650301464255,0.7684358853922029
466,EA,Uhem + COSAP,NO,NO,BOWTIE,Mutect,DELETE,0.7939538583929993,0.9122486288848263,0.859603789836348,0.8851441241685145
467,LL,Altay + COSAP,NO,NO,BOWTIE,Mutect,DELETE,0.623951182303585,0.8450413223140496,0.7045650301464255,0.7684358853922029
468,NC,Uhem + COSAP,NO,NO,BOWTIE,Mutect,DELETE,0.764937106918239,0.8976014760147601,0.8380706287683032,0.8668151447661471
471,LL,Uhem + COSAP,YES,NO,BOWTIE,Mutect,DELETE,0.7052545155993432,0.9377729257641921,0.739879414298019,0.8271545498314878
472,EA,Uhem + COSAP,YES,NO,BOWTIE,Mutect,DELETE,0.7965299684542587,0.9042076991942704,0.8699397071490095,0.8867427568042142
473,LL,Altay + COSAP,YES,NO,BOWTIE,Mutect,DELETE,0.7052545155993432,0.9377729257641921,0.739879414298019,0.8271545498314878
474,NC,Uhem + COSAP,YES,NO,BOWTIE,Mutect,DELETE,0.781225139220366,0.9109461966604824,0.8458225667527993,0.8771773112996875
477,LL,Uhem + COSAP,NO,YES,BOWTIE,Mutect,DELETE,0.6540627514078842,0.9083798882681564,0.7002583979328165,0.7908560311284046
478,EA,Uhem + COSAP,NO,YES,BOWTIE,Mutect,DELETE,0.8032258064516129,0.9265116279069767,0.8578811369509044,0.89087656529517
479,LL,Altay + COSAP,NO,YES,BOWTIE,Mutect,DELETE,0.6540627514078842,0.9083798882681564,0.7002583979328165,0.7908560311284046
480,NC,Uhem + COSAP,NO,YES,BOWTIE,Mutect,DELETE,0.7637362637362637,0.8959484346224678,0.8380706287683032,0.8660436137071651
483,LL,Uhem + COSAP,YES,YES,BWA,Strelka,DELETE,0.43675982946470865,0.49252136752136755,0.7941429801894918,0.6079788987800858
484,EA,Uhem + COSAP,YES,YES,BWA,Strelka,DELETE,0.5303482587064676,0.5566579634464752,0.9181739879414298,0.693107932379714
485,LL,Altay + COSAP,YES,YES,BWA,Strelka,DELETE,0.43675982946470865,0.49252136752136755,0.7941429801894918,0.6079788987800858
486,NC,Uhem + COSAP,YES,YES,BWA,Strelka,DELETE,0.5301327885597549,0.5656675749318801,0.8940568475452196,0.6929238985313753
489,LL,Uhem + COSAP,NO,NO,BWA,Strelka,DELETE,0.40375381929288523,0.45012165450121655,0.7967269595176572,0.5752487562189055
490,EA,Uhem + COSAP,NO,NO,BWA,Strelka,DELETE,0.4561778537836682,0.4752783964365256,0.9190353143841516,0.6265413975337639
491,LL,Altay + COSAP,NO,NO,BWA,Strelka,DELETE,0.40375381929288523,0.45012165450121655,0.7967269595176572,0.5752487562189055
492,NC,Uhem + COSAP,NO,NO,BWA,Strelka,DELETE,0.49430740037950666,0.5238813474107592,0.8975021533161068,0.6615873015873016
495,LL,Uhem + COSAP,YES,NO,BWA,Strelka,DELETE,0.3928722952906237,0.4363807728557964,0.797588285960379,0.5641181845872678
496,EA,Uhem + COSAP,YES,NO,BWA,Strelka,DELETE,0.43783340172343044,0.45539906103286387,0.9190353143841516,0.6090182648401826
497,LL,Altay + COSAP,YES,NO,BWA,Strelka,DELETE,0.3928722952906237,0.4363807728557964,0.797588285960379,0.5641181845872678
498,NC,Uhem + COSAP,YES,NO,BWA,Strelka,DELETE,0.48177203507152744,0.5092682926829268,0.8992248062015504,0.650264715042043
501,LL,Uhem + COSAP,NO,YES,BWA,Strelka,DELETE,0.4491484184914842,0.5079801871216291,0.7950043066322137,0.6198791134989927
502,EA,Uhem + COSAP,NO,YES,BWA,Strelka,DELETE,0.5590551181102362,0.5887230514096186,0.917312661498708,0.7171717171717172
503,LL,Altay + COSAP,NO,YES,BWA,Strelka,DELETE,0.4491484184914842,0.5079801871216291,0.7950043066322137,0.6198791134989927
