TestCase1,TestCase2,Inter/Union
bo/mu/no/no/d/467/ll/A,bw/so/yes/yes/m/243/ll/U,0.31
bo/mu/no/no/d/467/ll/A,bo/mu/no/yes/d/479/ll/A,0.87
bo/mu/no/no/d/467/ll/A,bw/mu/no/no/d/441/ll/U,0.73
bo/mu/no/no/d/467/ll/A,bw/st/yes/yes/d/483/ll/U,0.43
bo/mu/no/no/d/467/ll/A,bo/mu/no/yes/d/477/ll/U,0.87
bo/mu/no/no/d/467/ll/A,bo/st/yes/yes/m/221/ll/A,0.55
bo/mu/no/no/d/467/ll/A,bo/st/yes/yes/m/219/ll/U,0.55
bw/st/yes/no/m/209/ll/A,bw/st/yes/no/m/207/ll/U,1.0
bw/st/yes/no/m/209/ll/A,bo/st/yes/no/m/231/ll/U,0.55
bw/st/yes/no/m/209/ll/A,bo/mu/no/no/d/467/ll/A,0.38
bw/st/yes/no/m/209/ll/A,bw/st/yes/no/m/209/ll/A,1.0
bw/st/yes/no/m/209/ll/A,bw/so/yes/no/m/255/ll/U,0.38
bw/st/yes/no/m/209/ll/A,bw/mu/yes/yes/d/435/ll/U,0.42
bw/st/yes/no/m/209/ll/A,bw/so/no/yes/m/263/ll/A,0.42
bw/st/yes/no/m/209/ll/A,bo/mu/yes/yes/d/461/ll/A,0.43
bw/st/yes/no/m/209/ll/A,bo/st/no/yes/m/237/ll/U,0.37
bw/st/yes/no/m/209/ll/A,bw/st/yes/no/d/495/ll/U,1.0
bw/st/yes/no/m/209/ll/A,bo/mu/yes/yes/d/459/ll/U,0.43
bw/st/yes/no/m/209/ll/A,bo/st/no/yes/m/239/ll/A,0.37
bw/st/yes/no/m/209/ll/A,bw/st/no/no/m/201/ll/U,0.85
bw/st/yes/no/m/209/ll/A,bo/st/no/yes/d/525/ll/U,0.37
bw/st/yes/no/m/209/ll/A,bo/mu/no/no/m/179/ll/A,0.38
bw/st/yes/no/m/209/ll/A,bo/mu/yes/no/m/183/ll/U,0.41
bw/st/yes/no/m/209/ll/A,bo/mu/no/no/m/177/ll/U,0.38
bw/st/yes/no/m/209/ll/A,bo/st/no/no/d/513/ll/U,0.39
bw/st/yes/no/m/209/ll/A,bw/so/no/yes/d/549/ll/U,0.42
bw/st/yes/no/m/209/ll/A,bw/mu/yes/yes/m/149/ll/A,0.42
bw/st/yes/no/m/209/ll/A,bo/mu/yes/no/m/185/ll/A,0.41
bw/st/yes/no/m/209/ll/A,bo/st/no/no/d/515/ll/A,0.39
bw/st/yes/no/m/209/ll/A,bo/mu/yes/yes/m/171/ll/U,0.43
bw/st/yes/no/m/209/ll/A,bw/mu/yes/yes/m/147/ll/U,0.42
bw/st/yes/no/m/209/ll/A,bo/so/no/no/d/563/ll/A,0.12
bw/st/yes/no/m/209/ll/A,bo/so/yes/yes/d/555/ll/U,0.42
bw/st/yes/no/m/209/ll/A,bw/so/no/no/d/539/ll/A,0.37
bw/st/yes/no/m/209/ll/A,bo/mu/no/yes/m/191/ll/A,0.39
bw/st/yes/no/m/209/ll/A,bw/st/no/yes/d/501/ll/U,0.78
bw/st/yes/no/m/209/ll/A,bw/mu/no/yes/m/165/ll/U,0.41
