TestCase,Sample,isTrimmed,baseRecalibration,Mapper,VariantCaller,Duplicates,Node,ElapsedTime,Environment,"baseRecalibration, isTrimmed","Mapper, VariantCaller"
510,NC,YES,YES,BOWTIE,Strelka,DELETE,s021,2:40:22,Uhem + COSAP,"YES, YES","BOWTIE, Strelka"
513,LL,NO,NO,BOWTIE,Strelka,DELETE,s037,0:45:46,Uhem + COSAP,"NO, NO","BOWTIE, Strelka"
514,EA,NO,NO,BOWTIE,Strelka,DELETE,s067,02:16:57,Uhem + COSAP,"NO, NO","BOWTIE, Strelka"
515,LL,NO,NO,BOWTIE,Strelka,DELETE,a049,00:46:22,Altay + COSAP,"NO, NO","BOWTIE, Strelka"
516,NC,NO,NO,BOWTIE,Strelka,DELETE,s021,1:15:25,Uhem + COSAP,"NO, NO","BOWTIE, Strelka"
519,LL,YES,NO,BOWTIE,Strelka,DELETE,s037,0:47:53,Uhem + COSAP,"NO, YES","BOWTIE, Strelka"
520,EA,YES,NO,BOWTIE,Strelka,DELETE,s067,02:24:03,Uhem + COSAP,"NO, YES","BOWTIE, Strelka"
521,LL,YES,NO,BOWTIE,Strelka,DELETE,a049,00:54:20,Altay + COSAP,"NO, YES","BOWTIE, Strelka"
522,NC,YES,NO,BOWTIE,Strelka,DELETE,s021,1:18:18,Uhem + COSAP,"NO, YES","BOWTIE, Strelka"
525,LL,NO,YES,BOWTIE,Strelka,DELETE,s037,1:24:15,Uhem + COSAP,"YES, NO","BOWTIE, Strelka"
526,EA,NO,YES,BOWTIE,Strelka,DELETE,s067,04:29:30,Uhem + COSAP,"YES, NO","BOWTIE, Strelka"
527,LL,NO,YES,BOWTIE,Strelka,DELETE,a049,01:26:31,Altay + COSAP,"YES, NO","BOWTIE, Strelka"
528,NC,NO,YES,BOWTIE,Strelka,DELETE,s021,2:37:41,Uhem + COSAP,"YES, NO","BOWTIE, Strelka"
531,LL,YES,YES,BWA,SomaticSniper,DELETE,s045,1:31:18,Uhem + COSAP,"YES, YES","BWA, SomaticSniper"
532,EA,YES,YES,BWA,SomaticSniper,DELETE,s065,04:14:17,Uhem + COSAP,"YES, YES","BWA, SomaticSniper"
