TestCaseNo,phase,Sample,operatingSystem,Environment,isTrimmed,baseRecalibration,Mapper,M_Version,VariantCaller,VC_Version,ReferenceGenom,Duplicates,VariantFilter,FilterPass,SOMATICfilter,remove_indels,TMB,FileLink,Result VCF Count,Author,Slurm_id,Node,ElapsedTime
TestCase 214,done,EA,,Uhem + COSAP,NO,YES,BWA,,Strelka,,hg38,MARK,,,,,22.39902830068317,https://drive.google.com/drive/folders/1vFtqslZ1a7gQ4Lg9OLOoPBSRXfq24o_o?usp=share_link,1809,GUL EDA,664683.0,s023,03:46:06
TestCase 215,done,LL,,Altay + COSAP,NO,YES,BWA,,Strelka,,hg38,MARK,,,,,22.49808425778956,https://drive.google.com/drive/folders/1L_Ka1HKzJjgty0zJKYRjognYSj7N1ly8?usp=share_link,1817,GÜL EDA,29193.0,a043,01:22:33
TestCase 216,done,NC,,Uhem + COSAP,NO,YES,BWA,,Strelka,,hg38,MARK,,,,,21.755164579491616,https://drive.google.com/drive/folders/1hSV7fiVYKstVmvWDcwN6uFF_SrHtTooI?usp=sharing,1757,GÜL EDA,655595.0,f010,2:25:31
TestCase 219,done,LL,,Uhem + COSAP,YES,YES,BOWTIE,,Strelka,,hg38,MARK,,,,,14.524079710724909,https://drive.google.com/drive/folders/1yRx-Pu0-EPhwYHnUxSiEtVxMHzCSf-Nu?usp=sharing,1173,GÜL EDA,655629.0,s022,1:37:23
TestCase 220,done,EA,,Uhem + COSAP,YES,YES,BOWTIE,,Strelka,,hg38,MARK,,,,,14.771719603490892,https://drive.google.com/drive/folders/10E3nw6zudVj42_kidJM4iZhFRjGg9PfJ?usp=share_link,1193,GUL EDA,664680.0,f003,03:56:26
TestCase 221,done,LL,,Altay + COSAP,YES,YES,BOWTIE,,Strelka,,hg38,MARK,,,,,14.524079710724909,https://drive.google.com/drive/folders/153QIUZg0duUG0Bq_k8w-IbatuC7lZeM5?usp=share_link,1173,GÜL EDA,29194.0,a044,01:36:23
TestCase 222,done,NC,,Uhem + COSAP,YES,YES,BOWTIE,,Strelka,,hg38,MARK,,,,,14.598371678554704,https://drive.google.com/drive/folders/1VDgAhVC-d3z63F8XjVru0ZKD-5pEiNnt?usp=sharing,1179,GÜL EDA,655356.0,s023,2:41:39
TestCase 225,done,LL,,Uhem + COSAP,NO,NO,BOWTIE,,Strelka,,hg38,MARK,,,,,11.750512911745894,https://drive.google.com/drive/folders/1qRvob0u7u_9ndIV0r-elKa0LsgqoI0jL?usp=sharing,949,GÜL EDA,655629.0,s022,0:46:53
TestCase 226,done,EA,,Uhem + COSAP,NO,NO,BOWTIE,,Strelka,,hg38,MARK,,,,,14.004035935916344,https://drive.google.com/drive/folders/1_hZXXl8a0Cyrxnav7uCTJ3cQLJ0bkaUV?usp=share_link,1131,GUL EDA,664680.0,f003,02:06:25
TestCase 227,done,LL,,Altay + COSAP,NO,NO,BOWTIE,,Strelka,,hg38,MARK,,,,,11.750512911745894,https://drive.google.com/drive/folders/1040_DtCvhl7esSHzl-kMEOR2SZliMl4S?usp=share_link,949,GÜL EDA,29194.0,a044,00:46:40
